Time stamp,TMR,Power,Temp
2024-11-10 19:04:56.305655,327.0,0.0,669.0
2024-11-10 19:04:56.307745,608.0,0.0,669.0
2024-11-10 19:04:56.309562,680.0,0.0,669.0
2024-11-10 19:04:56.310855,389.0,0.0,669.0
2024-11-10 19:04:56.312186,354.0,0.0,669.0
2024-11-10 19:04:56.313520,650.0,0.0,668.0
2024-11-10 19:04:56.314608,647.0,0.0,669.0
2024-11-10 19:04:56.315686,352.0,0.0,669.0
2024-11-10 19:04:56.316811,392.0,0.0,669.0
2024-11-10 19:04:56.317910,682.0,0.0,669.0
2024-11-10 19:04:56.319055,605.0,0.0,669.0
2024-11-10 19:04:56.320156,325.0,0.0,669.0
2024-11-10 19:04:56.321346,438.0,0.0,669.0
2024-11-10 19:04:56.322444,703.0,0.0,669.0
2024-11-10 19:04:56.323488,557.0,0.0,669.0
2024-11-10 19:04:56.324514,310.0,0.0,669.0
2024-11-10 19:04:56.325533,488.0,0.0,669.0
2024-11-10 19:04:56.326572,712.0,0.0,669.0
2024-11-10 19:04:56.327583,506.0,0.0,669.0
2024-11-10 19:04:56.328592,307.0,0.0,669.0
2024-11-10 19:04:56.329835,539.0,0.0,669.0
2024-11-10 19:04:56.330944,708.0,0.0,669.0
2024-11-10 19:04:56.331963,455.0,0.0,669.0
2024-11-10 19:04:56.332974,318.0,0.0,669.0
2024-11-10 19:04:56.334082,589.0,0.0,669.0
2024-11-10 19:04:56.335154,691.0,0.0,669.0
2024-11-10 19:04:56.336178,407.0,0.0,669.0
2024-11-10 19:04:56.337176,341.0,0.0,669.0
2024-11-10 19:04:56.338227,633.0,0.0,668.0
2024-11-10 19:04:56.339371,662.0,0.0,669.0
2024-11-10 19:04:56.340412,366.0,0.0,669.0
2024-11-10 19:04:56.341423,375.0,0.0,669.0
2024-11-10 19:04:56.342525,669.0,0.0,669.0
2024-11-10 19:04:56.343562,624.0,0.0,669.0
2024-11-10 19:04:56.344586,335.0,0.0,669.0
2024-11-10 19:04:56.345611,417.0,0.0,669.0
2024-11-10 19:04:56.346671,696.0,0.0,669.0
2024-11-10 19:04:56.347697,578.0,0.0,669.0
2024-11-10 19:04:56.348727,315.0,0.0,669.0
2024-11-10 19:04:56.349801,466.0,0.0,669.0
2024-11-10 19:04:56.350897,710.0,0.0,669.0
2024-11-10 19:04:56.352008,528.0,0.0,669.0
2024-11-10 19:04:56.353104,307.0,0.0,669.0
2024-11-10 19:04:56.354306,518.0,0.0,669.0
2024-11-10 19:04:56.355351,711.0,0.0,669.0
2024-11-10 19:04:56.356362,476.0,0.0,669.0
2024-11-10 19:04:56.357372,312.0,0.0,670.0
2024-11-10 19:04:56.358365,568.0,0.0,669.0
2024-11-10 19:04:56.359371,700.0,0.0,668.0
2024-11-10 19:04:56.360380,427.0,0.0,669.0
2024-11-10 19:04:56.361379,330.0,0.0,669.0
2024-11-10 19:04:56.362721,615.0,0.0,669.0
2024-11-10 19:04:56.363852,675.0,0.0,669.0
2024-11-10 19:04:56.364894,383.0,0.0,669.0
2024-11-10 19:04:56.365940,359.0,0.0,669.0
2024-11-10 19:04:56.366957,655.0,0.0,669.0
2024-11-10 19:04:56.367976,641.0,0.0,669.0
2024-11-10 19:04:56.369020,347.0,0.0,669.0
2024-11-10 19:04:56.370104,398.0,0.0,669.0
2024-11-10 19:04:56.371179,686.0,0.0,669.0
2024-11-10 19:04:56.372210,598.0,0.0,669.0
2024-11-10 19:04:56.373420,322.0,0.0,669.0
2024-11-10 19:04:56.374593,445.0,0.0,669.0
2024-11-10 19:04:56.375647,705.0,0.0,668.0
2024-11-10 19:04:56.376776,549.0,0.0,669.0
2024-11-10 19:04:56.377805,308.0,0.0,669.0
2024-11-10 19:04:56.378872,496.0,0.0,669.0
2024-11-10 19:04:56.379878,712.0,0.0,669.0
2024-11-10 19:04:56.380878,498.0,0.0,669.0
2024-11-10 19:04:56.381905,308.0,0.0,669.0
2024-11-10 19:04:56.382916,547.0,0.0,669.0
2024-11-10 19:04:56.383916,706.0,0.0,669.0
2024-11-10 19:04:56.384926,448.0,0.0,669.0
2024-11-10 19:04:56.386187,321.0,0.0,669.0
2024-11-10 19:04:56.387197,596.0,0.0,669.0
2024-11-10 19:04:56.388192,687.0,0.0,669.0
2024-11-10 19:04:56.389279,401.0,0.0,669.0
2024-11-10 19:04:56.390337,346.0,0.0,669.0
2024-11-10 19:04:56.391342,639.0,0.0,669.0
2024-11-10 19:04:56.392337,657.0,0.0,669.0
2024-11-10 19:04:56.393405,361.0,0.0,669.0
2024-11-10 19:04:56.394570,381.0,0.0,669.0
2024-11-10 19:04:56.395629,674.0,0.0,669.0
2024-11-10 19:04:56.396659,617.0,0.0,669.0
2024-11-10 19:04:56.397663,331.0,0.0,669.0
2024-11-10 19:04:56.398722,424.0,0.0,669.0
2024-11-10 19:04:56.399759,699.0,0.0,669.0
